2020-04-27 03:22:04.844 -03:00 [INF] ---- INICIANDO SERVIDOR ----
2020-04-27 03:22:11.112 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:11.116 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:20.210 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:20.212 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:30.205 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:30.206 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:40.204 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:40.207 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:50.204 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:22:50.206 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:23:00.204 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:23:00.206 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:26:23.618 -03:00 [INF] ---- INICIANDO SERVIDOR ----
2020-04-27 03:26:48.635 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:26:48.643 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:26:50.100 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:26:50.103 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:00.102 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:00.103 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:10.099 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:10.100 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:20.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:20.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:30.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:30.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:27:40.087 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
